EST_NUM1,NAME1,NAME21,ADB_NAME1,MAIL_11,MAIL_21,MAIL_31,MAIL_CITY1,MAIL_PROV1,MAIL_PC1,LOC_ADD11,LOC_ADD21,LOC_ADD31,LOC_CITY1,LOC_PROV1,LOC_PC1,TELE_11,TELE_21,TELE_31,CODES_11,CODES_21,CODES_31,CODE_41,CODE_51,CODES_61,CODE_71,CODE_81,CODES_91,CODES_101,EXPORT1,TRICHINA1,POUTRY_SPC1,OTHERS_SPC1,HACCP_REG1,EP_NUM1,LASTUPDT1,LICENCE_NO1,LICENCE_IS1,LICENCE_EX1
641,BURNBRAE FARMS LIMITED,,,3356 COUNTY RD. 27,,,LYN,ON,K0E 1M0,260 CENTRAL AVE WEST,,,BROCKVILLE,ON,K6V 5V7,(613) 342-3960,(613) 342-8083/F,,,,,,,X,,,,,D,,,,,,2024-01-19 09:39:16.185164300,,,
S855,KELCOLD REFRIGERATED WAREHOUSE AND LOGISTICS INC.,,REFRIGERATED WAREHOUSE,779 BANNOCKBURN ROAD,,,CORNWALL,PE,C0A 1H0,55 FRENETTE AVENUE,,,MONCTON,NB,E1H 3S5,(506) 383-3797/T,,,,,,,,,,,,A,,,,,,EP2620,2018-12-20,S855-2620-18026,2018-12-20,2019-03-31
S856,LOBLAWS INC.,,,,,,,,,16104 121A AVE NW,,,EDMONTON,AB,T5V1B2,,,,,,,,,,,,,A,,,,,,EP2626,2025-11-25 11:48:26.8832236,S856-2626-18035,2019-05-16,2020-03-31
S857,LOBLAWS INC.,,,55 FREEPORT BLVD NE,,,CALGARY,AB,T3J 4X9,55 FREEPORT BLVD NE,,,CALGARY,AB,T3J 4X9,(403) 390-4499,,,,,,,,,,,,A,,,,,,EP2628,2019-05-29,S857-2628-18037,2019-05-29,2020-03-31
S858,CHARCUTERIE L. FORTIN LIMITEE,,,5371 AVENUE DU PONT NORD,,,ALMA,QC,G8E 1T9,845 AVENUE BOMBARDIER,,,ALMA,QC,G8B 6H2,,,,,,,,,,,,,A,,,,,,EP2630,2019-06-18,S858-2630-18038,2019-06-18,2020-03-31
430,JD SWEID FOODS (2013) LTD.,,JD SWEID FOODS,,,,,,,9696 - 199A STREET,,,LANGLEY,BC,V1M 2X7,(604) 888-8662,(604) 882-2672,(604) 882-7381/I,,,,,,fx,,,,,D,,,,,EP1418,2018-02-01,430-1418-17365,2018-02-01,2019-03-31
431,3681611 CANADA INC,,LES VIANDES VALLEYFIELD,,,,,,,"414, ROUTE 201 OUEST",,,ST-STANISLAS DE KOSTKA,QC,J0S 1W0,(450)371-0421,,,ABCIJ,,,,,,,,,,BDKQILP,,,,,,2025-01-22 11:11:55.2294097,,,
434,FARM FRESH POULTRY LTD.,,Farm Fresh Poultry,191 JOHN ST. N P.O. BOX 729,,,HARRISTON,ON,N0G 1Z0,191 JOHN STREET,,,HARRISTON,ON,N0G 1Z0,(519) 338-3200,(519) 338-3276/F,,fi,,f,,,f,,,,,D,,"CHICKEN, TURKEY",,,EP2175,2018-04-11,434-2175-17314,2018-01-23,2019-03-31
436,SOFINA FOODS INC./ ALIMENTS SOFINA INC.,,VIENNA MEAT PRODUCTS,,,,,,,170 NUGGET AVENUE,,,TORONTO,ON,M1S 3A7,(416) 297-1062,(416) 297-0836/F,(416) 297-1062/I,,,x,,,fx,,,,,AD,,,,,EP1423,2018-02-28,436-1423-17790,2018-02-28,2019-03-31
437,COLONIAL FARMS LTD.,,,P.O. BOX 9,,,ARMSTRONG,BC,V0E 1B0,3830 OKANAGAN STREET,,,ARMSTRONG,BC,V0E 1B0,(250) 546-3008,(250) 546-6065/F,,f,,f,,,,,,,,DV,,,,,EP1424,2018-02-28,437-1424-17818,2018-02-28,2019-03-31
438,LES SPÉCIALITÉS PRODAL (1975) LTÉE,,PREMIER CHEF: DU BRETON: CUISICHEF: AU MENU: TABLE D'HOTE: CUISICHEF AU MENU: LES PRODUITS DE L'ILE D'ORLÉANS: BOCETIN: LE JARDIN MÉTIVIER: LES PRODUITS MAISON SAGUENAY LTÉE : ALIMENTS BRETON (CANADA) INC.: PAYSAN DUBRETON,,,,,,,"251, AVENUE BOYER",,,ST-CHARLES-DE-BELLECHASSE,QC,G0R 2T0,(418) 887-3301,(418) 887-5073/F,,,,,,,fgx,,,,,AD,,,,,EP1087,2018-02-12,438-1087-17516,2018-02-12,2019-03-31
327,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.,,"ALIMENT CAPPOLA, ALIMENTS MINA, BON APPETIT MEATS, CANA FOODS, CAPPOLA FOOD, CLEARVIEW TURKEY FARMS, COLD SPRINGS FARM, DEVOUR JERKY, DEVOUR MEATS, EMBALLAGES DE VIANDE HUB, EMBALLAGES LARSEN, FERME COLD SPRINGS, FLEETWOOD SAUSAGE, GREENFIELD FOOD PRODUCTS, GREENFIELD, GREENFIELD NATURAL MEATS, GREENFIELD NATURAL MEAT CO., HORIZON POULTRY, HUB MEAT PACKERS, HUB MEATS, HYGRADE FOODS, J.M. SCHNEIDER, LARSEN PACKERS, LES ALIMENTS DE CONSOMMATION MAPLE LEAF, LES ALIMENTS MAPLE LEAF, LES ALIMENTS SCHNEIDER, LES ALIMENTS SCHNEIDER, LES ALIMENTS SHOPSY'S, LES VIANDES BON APPETIT, LES VIANDES DEVOUR, LES VIANDES HUB, LES VIANDES MAPLE LEAF, LES VOLAILLES MAPLE LEAF, MAPLE LEAF AGRI-FARMS, MAPLE LEAF AGRI-FARMS, MAPLE LEAF CONSUMER FOODS, MAPLE LEAF FOOD SERVICE, MAPLE LEAF FOODS, MAPLE LEAF FRESH FOODS, MAPLE LEAF MEATS, MAPLE LEAF PORK, MAPLE LEAF POULTRY, MAPLE LEAF PREPARED MEATS, MINA, MINA FOODS, MITCHELL'S GOURMET FOODS, MOTHER JACKSON'S OPEN KITCHENS, PARADIGM FOOD GROUP, PASTA EXCELLENTE FOODS, PERFECT MANITOBA PULLETS, PRIME POULTRY, PORC MAPLE LEAF, PRODUCTEURS THAMES VALLEY, PRODUITS ALIMENTAIRES GREENFIELD, SCHNEIDER FOODS, SERVICE ALIMENTAIRE MAPLE LEAF, SHOPSY'S FOODS, TEND-R-FRESH POULTRY FARMS, THAMES VALLEY PROCESSORS, VANCOUVER FANCY MEATS, VIANDES NATURELLES GREENFIELD, VOLAILLE MAPLE LEAF",6985 FINANCIAL DRIVE,,,MISSISSAUGA,ON,L5N 0A1,25 LEPAGE COURT,,,TORONTO,ON,M3J 3M3,(416) 633-0389,(416) 633-0389/I,(416) 633-8733/F,,,x,,,x,,,,,AD,,,,,EP2019,2018-02-09,327-2019-17490,2018-02-09,2019-03-31
328,MARSAN FOODS ULC / MARSAN FOODS ULC (EDMONTON),,,160 THERMOS RD,,,SCARBOROUGH,ON,M1L4W2,2545 96 ST NW,,,EDMONTON,AB,T6N1E3,,,,,,,,,fx,,,,,D,,,,,EP2023,2026-07-02 09:34:04.2763833,328-2023-17430,2018-02-06,2019-03-31
331,GRAND RIVER FOODS LTD.,,,,,,,,,685 BOXWOOD DRIVE,,,CAMBRIDGE,ON,N3E 1A4,(519) 653-3577,(519) 653-7595/F,,,,,,,fx,,,,,D,,,,,EP2297,2018-03-27,331-2297-17958,2018-03-27,2019-03-31
333,OLYMEL S.E.C./ OLYMEL L.P.,,OLYMEL S.E.C./L.P.,,,,,,,255 RUE ROCHELEAU,,,DRUMMONDVILLE,QC,J2C7G2,(819)475-3030,,,,,,,,X,,,,,ADFKV,,,,,EP1817,2025-03-06 10:49:42.4353584,333-1817-17477,2018-02-09,2019-03-31
335,DOLLAR FOOD MFG INC,,,,,,,,,1410 ODLUM DRIVE,,,VANCOUVER,BC,V5L4X7,(604) 253-1422,,,,,"F,X",,,"F,X",,,,,ADHFQ,,,,,,2025-06-04 11:02:58.2936636,,,
336,MARINI FOODS LTD.,,"BONA FOODS LIMITED, REA FOODS INC.",,,,,,,184 TORYORK DRIVE,,,TORONTO,ON,M9L 1X6,(416) 749-2466,(416) 749-2558/F,(416) 749-5411/I,,,x,,,x,,,,,D,,,,,EP1335,2018-02-19,336-1335-17612,2018-02-19,2019-03-31
337,SOFINA FOODS INC./ALIMENTS SOFINA INC.,,,,,,,,,1226 TRAFALGAR STREET,,,LONDON,ON,N5Z 1H5,(519) 455-6060,(519) 455-0145/F,(   )    -,,,,,,fx,,,,,ADG,,,,,EP1336,2018-03-08,337-1336-17880,2018-03-08,2019-03-31
338,GENERAL MILLS CANADA CORPORATION/CORPORATION GENERAL MILLS CANADA,,PILLSBURY BAKERIES & FOODSERVICE LTD.,,,,,,,1555B CHEVRIER BLVD,,,WINNIPEG,MB,R3T 1Y7,(204) 477-8338,(204) 477-8347/F,Ext. 32/I,,,,,,x,,,,,D,,,,,EP2016,2018-02-02,338-2016-17399,2018-02-02,2019-03-31
340,SOFINA FOODS INC/ALIMENTS SOFINA INC,,SANTA MARIA FOODS,100 COMMERCE VALLEY DRIVE WEST,,,MARKHAM,ON,L3T 0A1,353 HUMBERLINE DRIVE,,,TORONTO,ON,M9W 5X3,(905) 790-1991,(905) 679-8263/F,(   )    -,,,,,,x,,,,,ADK,,,,,EP1339,2018-02-21,340-1339-17693,2018-02-21,2019-03-31
341,UNITED POULTRY CO. LTD.,,,,,,,,,534 EAST CORDOVA STREET,,,VANCOUVER,BC,V6A1L7,(604)255-9308,,,,,f,,,,,,,,DV,,,,,,2022-04-26 11:25:15.486056100,,,
345,LES ALIMENTS PARADOR FOODS INC.,,,,,,,,,"1060 BOUL. MICHELE-BOHEC, SUITE 103",,,BLAINVILLE,QC,J7C 5E2,(450) 430-7751,(450) 430-1379/F,,,,,,,fx,,,C/US,,D,,,,,EP2217,2018-06-21,345-2217-17788,2018-02-26,2019-03-31
878,CANADA MEAT GROUP INC.,,,,,,,,,65 ROUNDEL ROAD,,,NORTH BAY,ON,P1C0B8,(416)453-7195,,,,,FX,,,,,,,,ACDI,,,,,,2025-03-20 11:38:45.240764,,,
483,NATIONAL AGRI-FOOD TECHNOLOGY CENTRE,,FOOD DEVELOPMENT CENTRE,P.O. BOX 1240,,,PORTAGE LA PRAIRIE,MB,R1N 3J9,810 PHILLIPS STREET,,,PORTAGE LA PRAIRIE,MB,R1N 3J9,(204) 239-3150,(204) 239-3180/F,,,,,,,x,,,,,,,,"EMU, OSTRICH, BISON, ELK",,EP1463,2018-02-02,483-1463-17397,2018-02-02,2019-03-31
620,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.,,MAPLE LEAF FOODS INC.,,,,,,,440 GLOVER ROAD,,,HAMILTON,ON,L0R1P0,(905)285-1615,,,,,,,,fx,,,,,AD,,,,,,2023-08-09 09:17:31.469459300,,,
623,9132-7809 QUÉBEC INC.,,SALAISON PROVENCHER,,,,,,,"731, RUE MERRILL",,,COATICOOK,QC,J1A 2S2,(819)849-0567,,,,,,,,"f,x",,,,,A,,,,,EP2336,2025-11-04 08:44:05.6864203,623-2336-17590,2018-02-16,2019-03-31
S538,M D FOOD TRANSPORTING LIMITED,,,,,,,,,19 AUTOMATIC ROAD,,,BRAMPTON,ON,L6S4K6,(416)688-3830,,,,,,,,,,,B/US,A,,,,,,EP2432,2025-10-14 14:03:34.5515872,S538-2432-17618,2018-02-19,2019-03-31
685,INTERCITY PACKERS LTD.,,,,,,,,,13506-159 STREET NW,,,EDMONTON,AB,T5V 0C6,(780) 477-7254,,,,,FX,,,FX,,,,,D,,,,,,2025-06-23 13:20:20.5808976,,,
643,REDONDO IGLESIAS INC. / REDONDO IGLESIAS INC,,,,,,,,,"5800, RUE MAURICE-CULLEN",,,LAVAL,QC,H7C2V1,(450)664-3990,,,,,,,,X,,,B,,ADL,,,,,EP2369,2026-07-15 08:27:30.9969325,643-2369-17768,2018-02-26,2019-03-31
S208,HC COLD STORAGE INC.,,,,,,,,,7576 - 51ST STREET S.E.,,,CALGARY,AB,T2C 4B4,(778)-9876783,,,,,,,,,,,,AB,,,,,,EP1820,2024-05-16 12:11:55.2625476,S208-1820-17548,2018-02-14,2019-03-31
546,SPÉCIALITÉS M.B. INC.,,LA FOURCHETTE : YU'SKEWS : OLIVE & CUCINA : LA FONDUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     : LES SPÉCIALITÉ DU CONNAISSEUR : VIANDE SURFINES,,,,,,,"5450, AVENUE TRUDEAU",,,ST-HYACINTHE,QC,J2S 7Y8,(450) 771-1415,(450) 771-1417/F,,,,,,,fx,,,,,DA,,,,,EP1515,2018-05-24,546-1515-17390,2018-02-02,2019-03-31
548,CONAGRA BRANDS CANADA INC. / MARQUES CONAGRA CANADA INC.,,V-H FOODS / ALIMENTS V-H,,,,,,,570 BOUL. DU CURE-BOIVIN,,,BOISBRIAND,QC,J7G 2A7,(450) 433-1322,,,,,,,,"F,X",,,,,D,,,,,,2023-06-06 10:00:23.753894100,,,
550,GOLDEN VALLEY FARMS INC.,,,P.O. BOX 670,,,ARTHUR,ON,N0G 1A0,50 WELLS STREET,,,ARTHUR,ON,N0G 1A0,(519) 848-3110,(519) 848-3470/F,,,,,,,fx,,,,,AD,,,,,EP1519,2018-02-16,550-1519-17563,2018-02-16,2019-03-31
552,SUMMER FRESH SALADS INCORPORATED,,,,,,,,,181 SHARER ROAD,,,VAUGHAN,ON,L4L8Z3,(905)856-8816,,,,,,,,fx,,,,,AD,,,,,EP2036,2024-08-27 11:48:57.0422211,552-2036-17991,2018-03-28,2019-03-31
