CPF_CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;NR_SIF;DATA_RESERVA;DT_REGISTRO;NUMERO_PROCESSO;SITUACAO;LOGRADOURO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;EMAIL;AREA_CATEGORIA;CATEGORIA_CLASSE;DATA_OCORRENCIA;DESCRICAO_OCORRENCIA
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / MSD - MIGRADO - SDA DIGITAL;2020-05-18 00:00:00;Hong Kong. Habilitação, conforme lista  8131490. Processo sei nº 21000.033610/2019-88.
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / MSD - MIGRADO - SDA DIGITAL;2021-12-20 00:00:00;Egito. Aves. Prorrogação da habilitação. Produtos em natureza. SEI 21000.091495/2021-81 (18761561). Validade: 14/02/2022.
02.914.460/0205-00;SEARA ALIMENTOS LTDA;SEARA;2423;1979-10-31 00:00:00;2003-04-23 00:00:00;21012.005334/2019-29;A;NUCR DE TAGUATINGA, SN, AREA RURAL AREA ISOLADA GUARIROBA LOTE 04 BLOCO A B C;SAMAMBAIA NORTE (SAMAMBAIA);72322845;BRASÍLIA;DF;(11) 3144-5600;CONTADOR@SEARA.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / MSD - MIGRADO - SDA DIGITAL;2024-03-05 00:00:00;Timor Leste. Aves. Habilitação. Produtos em natureza. SEI 21000.002463/2024-61. (33711777).
27.497.684/0001-35;FRISA FRIGORIFICO RIO DOCE S A;;506;1971-08-11 00:00:00;1995-08-03 00:00:00;21018.006270/2020-67;A;AV FIORAVANTE ROSSI, 4000 ;HONORIO FRAGA;29704424;COLATINA;ES;(27) 3723.3224;rguedes@frisa.com.br                     ;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB1 - Bovino - mais de 80/hora - mais de 20t/d estocagem;2019-12-20 00:00:00;"Bovinos. Chile. Renovação da habilitação. Produtos em natureza (bovinos). SEI 21000.056329/2018-32, SAG 5464/2019 (8465003).
A data de validade será informada posteriormente, não consta no processo."
27.497.684/0001-35;FRISA FRIGORIFICO RIO DOCE S A;;506;1971-08-11 00:00:00;1995-08-03 00:00:00;21018.006270/2020-67;A;AV FIORAVANTE ROSSI, 4000 ;HONORIO FRAGA;29704424;COLATINA;ES;(27) 3723.3224;rguedes@frisa.com.br                     ;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB1 - Bovino - mais de 80/hora - mais de 20t/d estocagem;2018-05-17 00:00:00;De acordo com a resposta SAG, SEI (4450653), ao Ofício nº 1027/2018/CGSF - MAPA, referente aos estabelecimentos brasileiros processadores de carne bovina, SEI nº 21000.006305/2017-51 a habilitação para produtos em conserva não requerem visita de habilitação, mas se habilitam através do envio de uma monografia verificada pelo MAPA e encaminhada através de carta oficial.
27.497.684/0001-35;FRISA FRIGORIFICO RIO DOCE S A;;506;1971-08-11 00:00:00;1995-08-03 00:00:00;21018.006270/2020-67;A;AV FIORAVANTE ROSSI, 4000 ;HONORIO FRAGA;29704424;COLATINA;ES;(27) 3723.3224;rguedes@frisa.com.br                     ;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB1 - Bovino - mais de 80/hora - mais de 20t/d estocagem;2021-07-14 00:00:00;Peru. Bovinos. Renovação de habilitação. Produtos em natureza. Processo sei nº 21000.019430/2020-27. 15924368. Vigência: 31/12/2021.
27.497.684/0001-35;FRISA FRIGORIFICO RIO DOCE S A;;506;1971-08-11 00:00:00;1995-08-03 00:00:00;21018.006270/2020-67;A;AV FIORAVANTE ROSSI, 4000 ;HONORIO FRAGA;29704424;COLATINA;ES;(27) 3723.3224;rguedes@frisa.com.br                     ;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB1 - Bovino - mais de 80/hora - mais de 20t/d estocagem;2022-02-15 00:00:00;Egito. Bovinos. Prorrogação da habilitação. Produtos em natureza. SEI 03844.000026/2019-32 (20058471). Validade: 14/05/2022.
27.497.684/0001-35;FRISA FRIGORIFICO RIO DOCE S A;;506;1971-08-11 00:00:00;1995-08-03 00:00:00;21018.006270/2020-67;A;AV FIORAVANTE ROSSI, 4000 ;HONORIO FRAGA;29704424;COLATINA;ES;(27) 3723.3224;rguedes@frisa.com.br                     ;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB1 - Bovino - mais de 80/hora - mais de 20t/d estocagem;2026-03-06 00:00:00;Países do Golfo. Bovinos. Protocolo privado. Nos casos em que o estabelecimento esteja habilitado para exportação de carne bovina a um ou mais países do Golfo, requer-se a adesão ao protocolo privado da ABIEC. O presente estabelecimento consta na lista de unidades aderidas a referido protocolo, sem que isso implique, necessariamente, habilitação para todos os países da referida região. SEI 21000.022494/2026-09 (50825501).
37.020.260/0001-39;NUTRIZA AGROINDUSTRIAL DE ALIMENTOS S/A;FRIATO ALIMENTOS;3921;1995-01-25 00:00:00;2011-03-11 00:00:00;21000.017344/2022-41;A;RODOVIA GO 330 KM 01, S/N;ZONA RURAL;75200000;PIRES DO RIO;GO;(64) 3461-1900;CONTABILIDADE@FRIATO.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2017-09-26 00:00:00;"Aves. União Europeia (UE). Suspensão da produção e certificação sanitária. SEI: 21020.004249/2017-82. 
    
       
"
37.020.260/0001-39;NUTRIZA AGROINDUSTRIAL DE ALIMENTOS S/A;FRIATO ALIMENTOS;3921;1995-01-25 00:00:00;2011-03-11 00:00:00;21000.017344/2022-41;A;RODOVIA GO 330 KM 01, S/N;ZONA RURAL;75200000;PIRES DO RIO;GO;(64) 3461-1900;CONTABILIDADE@FRIATO.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2018-07-02 00:00:00;África do Sul. Habilitação. Produtos em natureza. Processo sei nº 21020.001178/2018-47.
37.020.260/0001-39;NUTRIZA AGROINDUSTRIAL DE ALIMENTOS S/A;FRIATO ALIMENTOS;3921;1995-01-25 00:00:00;2011-03-11 00:00:00;21000.017344/2022-41;A;RODOVIA GO 330 KM 01, S/N;ZONA RURAL;75200000;PIRES DO RIO;GO;(64) 3461-1900;CONTABILIDADE@FRIATO.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2023-08-30 00:00:00;Singapura. Aves. Habilitação. Produtos em natureza. SEI 21016.005362/2022-10 (30551071).
37.020.260/0001-39;NUTRIZA AGROINDUSTRIAL DE ALIMENTOS S/A;FRIATO ALIMENTOS;3921;1995-01-25 00:00:00;2011-03-11 00:00:00;21000.017344/2022-41;A;RODOVIA GO 330 KM 01, S/N;ZONA RURAL;75200000;PIRES DO RIO;GO;(64) 3461-1900;CONTABILIDADE@FRIATO.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2025-04-02 00:00:00;ARGENTINA. AVES. RENOVAÇÃO DE HABILITAÇÃO. PRODUTOS EM NATUREZA (AVES). PRODUTOS SUBMETIDOS A TRATAMENTO TÉRMICO - COCÇÃO (AVES). SUÍNOS. HABILITAÇÃO. PRODUTOS SUBMETIDOS A TRATAMENTO TÉRMICO - COCÇÃO (SUÍNOS). PROCESSO SEI 21016.001365/2025-19 (41376623).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2018-12-17 00:00:00;Bovinos. Cuba. Exclusão. Habilitação vencida e não renovada. CARNE DE BOVINO 'IN NATURA', PREPARADOS DE CARNE e PRODUTOS INDUSTRIALIZADOS DE BOVINOS. SEI 21000.004371/2017-97 (5728940).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2020-05-18 00:00:00;Bovinos. Hong Kong. Habilitação. Categoria: Produtos em natureza, Produtos submetidos a tratamento térmico cocção, Produtos com adição de inibidores. SEI 21000.033610/2019-88 (8131490).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2022-05-27 00:00:00;China. Bovinos. Autorização temporária para emissão de DCPOA de solicitação de CSN com destino China concedida pelo processo 21000.050061/2022-10. (21895188)
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2021-07-14 00:00:00;Peru. Bovinos. Renovação de habilitação. Produtos em natureza. Processo sei nº 21000.019430/2020-27. 15924368. Vigência: 31/12/2021.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2022-04-12 00:00:00;Egito. Bovinos. Prorrogação da habilitação. Produtos em natureza. SEI 03844.000026/2019-32 (20946629). Validade: 01/10/2022.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2021-10-19 00:00:00;Egito. Bovinos. Prorrogação da habilitação. Produtos em natureza. SEI 03844.000026/2019-32 (17945991). Validade: 15/01/2022.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2023-06-30 00:00:00;Chile. Bovinos. Produto em natureza. Retirada da data de validade de 30/06/2023, conforme Informação 513 (28835064) do SEI 21000.050589/2022-81. Pre-listing Chile.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2024-05-28 00:00:00;EGITO. Renovação de Habilitação. Data de validade: 31/08/2024. PRODUTOS EM NATUREZA (BOVÍDEO) (DHC). SEI: 21000.091495/2021-81.  ADIDO COMUNICA CAI (35569079).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2023-11-20 00:00:00;Egito. Bovinos. Prorrogação da habilitação. SEI 03844.000026/2019-32 (31870669). Validade: 01/06/2024.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2025-06-30 00:00:00;VIETNÃ. Habilitação. PRODUTOS EM NATUREZA (BOVÍDEO) (DHC). Nº Processo SEI: 21016.003311/2025-98. Nº(s) Documento(s) SEI: ADIDO COMUNICA 143 (43618628).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2025-09-05 00:00:00;INDONÉSIA. Habilitação. PRODUTOS EM NATUREZA (BOVÍDEO) (DHC). Nº Processo SEI: 21000.091099/2022-34. Nº(s) Documento(s) SEI: ADIDO COMUNICA 126 (45401740).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2025-10-06 00:00:00;EMIRADOS ÁRABES UNIDOS. Habilitação. PRODUTOS EM NATUREZA (BOVÍDEO) (DHC). Nº Processo SEI: 21016.005856/2025-39. Formulário (SEI: 46269565).
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2025-10-30 00:00:00;FILIPINAS. Extensão Habilitação. PRODUTOS EM NATUREZA (BOVÍDEO) (DHC), Nº Processo SEI:21016.007403/2025-47. Nº(s) Documento(s) SEI: 47385510.
02.916.265/0083-06;JBS S/A;FRIBOI;4507;2000-05-24 00:00:00;2008-07-17 00:00:00;21012.005976/2018-47;A;ROD GO 164 KM 167, S/N;ZONA RURAL;76703899;MOZARLÂNDIA;GO;(11) 3144-4000;TRIBUTOS.RFB@JBS.COM.BR;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AB2 - BOVINO - mais de 80/h;2026-05-19 00:00:00;CHINA. Bovinos. Levantamento de Suspensão de habilitação. SEI 21000.009432/2025-12 (52773200).
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2021-04-08 00:00:00;Chile. Aves. Prorrogação de vigência de habilitação. Processo SEI nº 21000.018891/2021-63 (14484905). Vigência: 13/02/2022.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2021-07-14 00:00:00;Peru. Aves. Renovação de habilitação. Produtos em natureza. Processo sei nº 21000.019430/2020-27. 15924368. Vigência: 31/12/2021.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2023-01-06 00:00:00;República Dominicana. Aves. Renovação de habilitação. SEI 21000.021011/2021-36. Certificado de Estabelecimento - SIF 466 (26026835). Vigência: 21/12/2024.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2023-01-02 00:00:00;Peru. Aves. Renovação Habilitação. SEI 21000.101983/2022-94. ADIDO COMUNICA LIMA (25914007). Vigência 31/12/2023.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2024-01-24 00:00:00;"México. Aves. Extensão do escopo da Habilitação. produtos submetidos a tratamento térmico cocção SEI 21000.060716/2023-31. ADIDO COMUNICA MEX (33335391). vigência: 31/12/2024.
"
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2024-05-07 00:00:00;FILIPINAS. Habilitação. PRODUTOS EM NATUREZA (AVES) (DHC). Nº Processo SEI: 21000.020741/2024-62. Nº(s) Documento(s) SEI: 35099362.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2025-11-14 00:00:00;TIMOR LESTE. Habilitação. PRODUTOS EM NATUREZA (AVES) (DHC). Nº Processo SEI: 21000.002463/2024-61. Nº(s) Documento(s) SEI: 33650396 (planilha).
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / AA1 - AVES - MAIS DE 3000/H;2025-05-19 00:00:00;MÉXICO. Prorrogação de vigência de habilitação. Data de validade: 30/12/2025. PRODUTOS SUBMETIDOS A TRATAMENTO TÉRMICO COCÇÃO (AVES) (DHC). Nº Processo SEI: 21000.060716/2023-31. Nº(s) Documento(s) SEI: 42500219.
01.838.723/0154-00;BRF S.A.;-;466;1980-09-04 00:00:00;1981-11-27 00:00:00;21050.003579/2020-07;A;AC CIDADE ALTA, 4700;SAO CRISTOVAO;89665000;CAPINZAL;SC;(47) 3249-4228;TRIBUTARIOCSC@BRF.COM;CARNE;ABATEDOURO FRIGORÍFICO - C15 / MSD - MIGRADO - SDA DIGITAL;2017-08-10 00:00:00;Aves. Albânia. Suspensão da produção e cerificação sanitária a partir do dia 30/05/2017. Processo Sei nº  21000.015412/2017-71.
